production_order_id,production_date,product_id,machine_id,supplier_id,quantity_planned,quantity_produced,shift,status
PO0161,2026-03-28,PROD083,MCH007,SUP011,676,638,evening,completed
PO0162,2026-02-03,PROD029,MCH009,SUP017,110,12,night,completed
PO0163,2026-02-20,PROD060,MCH010,SUP017,556,483,morning,completed
PO0164,2026-01-14,PROD038,MCH007,SUP003,125,66,morning,completed
PO0165,2026-02-13,PROD059,MCH004,SUP017,456,375,evening,completed
PO0166,2026-02-26,PROD093,MCH008,SUP011,587,479,morning,completed
PO0167,2026-04-01,PROD015,MCH001,SUP011,145,128,night,completed
PO0168,2026-01-22,PROD095,MCH004,SUP017,793,775,morning,completed
PO0169,2026-02-24,PROD060,MCH004,SUP013,438,389,night,completed
PO0170,2026-03-26,PROD056,MCH007,SUP001,290,251,night,completed
PO0171,2026-02-24,PROD050,MCH001,SUP007,560,515,morning,completed
PO0172,2026-01-09,PROD074,MCH002,SUP018,870,840,morning,completed
PO0173,2026-02-28,PROD015,MCH005,SUP016,433,338,night,completed
PO0174,2026-03-20,PROD051,MCH010,SUP004,711,640,evening,completed
PO0175,2026-03-21,PROD023,MCH005,SUP020,965,903,night,completed
PO0176,2026-02-10,PROD016,MCH004,SUP010,788,685,morning,completed
PO0177,2026-01-19,PROD066,MCH007,SUP014,482,450,night,completed
PO0178,2026-02-24,PROD024,MCH008,SUP018,688,617,night,completed
PO0179,2026-03-04,PROD037,MCH003,SUP006,668,569,evening,delayed
PO0180,2026-02-15,PROD002,MCH008,SUP005,734,620,morning,delayed
PO0181,2026-03-25,PROD064,MCH007,SUP016,675,619,evening,delayed
PO0182,2026-01-11,PROD073,MCH001,SUP008,600,501,evening,completed
PO0183,2026-03-10,PROD037,MCH003,SUP015,381,289,night,delayed
PO0184,2026-01-15,PROD074,MCH002,SUP009,662,607,night,completed
PO0185,2026-01-06,PROD098,MCH008,SUP018,655,640,morning,delayed
PO0186,2026-03-25,PROD097,MCH004,SUP010,204,178,morning,delayed
PO0187,2026-01-12,PROD057,MCH002,SUP008,369,293,morning,completed
PO0188,2026-03-20,PROD081,MCH007,SUP006,981,951,night,completed
PO0189,2026-01-27,PROD008,MCH010,SUP012,903,809,night,completed
PO0190,2026-01-22,PROD042,MCH005,SUP010,711,659,night,completed
PO0191,2026-03-28,PROD013,MCH003,SUP014,978,923,morning,completed
PO0192,2026-01-17,PROD090,MCH003,SUP008,987,950,morning,completed
PO0193,2026-03-28,PROD051,MCH008,SUP005,948,859,night,completed
PO0194,2026-02-18,PROD058,MCH002,SUP003,742,675,evening,completed
PO0195,2026-02-17,PROD059,MCH008,SUP011,811,810,night,completed
PO0196,2026-01-12,PROD094,MCH008,SUP012,989,968,morning,delayed
PO0197,2026-01-28,PROD064,MCH005,SUP011,323,257,evening,completed
PO0198,2026-01-17,PROD073,MCH008,SUP011,660,613,night,completed
PO0199,2026-03-22,PROD059,MCH001,SUP004,147,39,morning,delayed
PO0200,2026-02-24,PROD026,MCH003,SUP010,567,447,morning,completed
PO0201,2026-02-16,PROD033,MCH002,SUP012,195,158,night,completed
PO0202,2026-03-22,PROD040,MCH004,SUP014,153,83,night,completed
PO0203,2026-01-01,PROD028,MCH008,SUP003,820,712,morning,completed
PO0204,2026-02-26,PROD002,MCH001,SUP011,631,598,morning,delayed
PO0205,2026-03-03,PROD010,MCH004,SUP013,810,706,morning,completed
PO0206,2026-02-17,PROD039,MCH003,SUP013,205,125,morning,completed
PO0207,2026-03-14,PROD002,MCH010,SUP006,170,117,evening,completed
PO0208,2026-03-22,PROD096,MCH003,SUP014,839,746,night,delayed
PO0209,2026-01-12,PROD013,MCH003,SUP004,980,887,night,delayed
PO0210,2026-02-10,PROD018,MCH004,SUP009,459,393,night,completed
PO0211,2026-03-18,PROD077,MCH010,SUP010,354,304,night,completed
PO0212,2026-03-26,PROD039,MCH004,SUP017,968,956,night,completed
PO0213,2026-02-07,PROD083,MCH001,SUP008,865,795,evening,delayed
PO0214,2026-03-05,PROD082,MCH010,SUP003,215,125,night,completed
PO0215,2026-02-10,PROD017,MCH007,SUP019,469,468,evening,completed
PO0216,2026-01-23,PROD098,MCH008,SUP003,659,626,morning,completed
PO0217,2026-01-28,PROD006,MCH001,SUP013,114,33,night,completed
PO0218,2026-03-06,PROD099,MCH007,SUP014,743,714,night,delayed
PO0219,2026-03-10,PROD069,MCH010,SUP005,184,145,evening,completed
PO0220,2026-03-07,PROD027,MCH003,SUP018,417,307,evening,delayed
PO0221,2026-03-25,PROD088,MCH002,SUP010,700,661,night,delayed
PO0222,2026-01-31,PROD008,MCH004,SUP003,847,835,evening,completed
PO0223,2026-03-19,PROD008,MCH005,SUP006,564,522,morning,completed
PO0224,2026-03-31,PROD002,MCH003,SUP016,824,721,evening,completed
PO0225,2026-01-17,PROD096,MCH005,SUP004,270,197,morning,completed
PO0226,2026-02-04,PROD068,MCH002,SUP009,926,860,night,completed
PO0227,2026-03-07,PROD047,MCH001,SUP016,608,546,night,completed
PO0228,2026-02-02,PROD099,MCH002,SUP019,476,376,night,completed
PO0229,2026-03-07,PROD001,MCH001,SUP001,333,307,morning,completed
PO0230,2026-02-19,PROD020,MCH003,SUP002,583,509,night,delayed
PO0231,2026-02-01,PROD054,MCH006,SUP009,329,250,morning,completed
PO0232,2026-03-28,PROD007,MCH003,SUP008,222,166,night,completed
PO0233,2026-03-01,PROD037,MCH005,SUP011,510,398,morning,delayed
PO0234,2026-01-26,PROD038,MCH010,SUP010,108,47,night,completed
PO0235,2026-03-17,PROD064,MCH004,SUP018,575,502,morning,completed
PO0236,2026-01-04,PROD030,MCH009,SUP012,106,52,night,completed
PO0237,2026-03-26,PROD049,MCH005,SUP004,443,323,morning,completed
PO0238,2026-01-08,PROD019,MCH005,SUP003,529,471,morning,completed
PO0239,2026-02-22,PROD090,MCH006,SUP015,965,911,night,completed
PO0240,2026-03-06,PROD018,MCH007,SUP003,694,586,night,completed
PO0241,2026-01-17,PROD031,MCH005,SUP009,545,509,evening,delayed
PO0242,2026-02-11,PROD041,MCH008,SUP009,817,803,morning,completed
PO0243,2026-03-16,PROD014,MCH003,SUP004,307,204,morning,delayed
PO0244,2026-02-22,PROD016,MCH009,SUP012,577,497,morning,delayed
PO0245,2026-02-03,PROD016,MCH002,SUP006,415,354,night,completed
PO0246,2026-03-31,PROD078,MCH001,SUP007,946,916,evening,completed
PO0247,2026-02-01,PROD046,MCH007,SUP017,193,164,morning,completed
PO0248,2026-01-23,PROD004,MCH007,SUP015,366,350,night,completed
PO0249,2026-01-14,PROD018,MCH002,SUP001,196,135,morning,completed
PO0250,2026-02-21,PROD048,MCH002,SUP019,233,138,night,completed
PO0251,2026-01-03,PROD009,MCH004,SUP015,932,821,morning,completed
PO0252,2026-02-12,PROD016,MCH001,SUP015,967,953,morning,completed
PO0253,2026-02-20,PROD064,MCH001,SUP013,687,622,night,delayed
PO0254,2026-01-28,PROD024,MCH005,SUP009,276,201,evening,completed
PO0255,2026-03-21,PROD079,MCH004,SUP010,135,93,evening,delayed
PO0256,2026-01-08,PROD012,MCH005,SUP013,663,604,morning,delayed
PO0257,2026-03-09,PROD032,MCH009,SUP001,304,266,evening,completed
PO0258,2026-03-04,PROD045,MCH010,SUP017,591,540,evening,delayed
PO0259,2026-01-04,PROD041,MCH010,SUP008,376,279,morning,completed
PO0260,2026-03-02,PROD068,MCH006,SUP019,159,142,morning,completed
PO0261,2026-03-26,PROD031,MCH005,SUP018,202,113,night,completed
PO0262,2026-03-15,PROD050,MCH006,SUP006,882,790,morning,completed
PO0263,2026-03-31,PROD046,MCH010,SUP001,706,626,night,completed
PO0264,2026-01-19,PROD073,MCH004,SUP016,681,633,night,completed
PO0265,2026-01-05,PROD012,MCH001,SUP008,279,221,night,completed
PO0266,2026-03-03,PROD001,MCH006,SUP020,120,67,morning,completed
PO0267,2026-01-23,PROD042,MCH001,SUP001,448,419,morning,completed
PO0268,2026-03-09,PROD047,MCH002,SUP012,892,786,night,delayed
PO0269,2026-02-13,PROD039,MCH006,SUP005,700,592,morning,delayed
PO0270,2026-03-04,PROD084,MCH006,SUP006,910,871,night,completed
PO0271,2026-03-17,PROD023,MCH007,SUP010,328,293,night,completed
PO0272,2026-01-01,PROD090,MCH010,SUP013,230,132,night,completed
PO0273,2026-02-10,PROD079,MCH004,SUP019,286,243,morning,delayed
PO0274,2026-01-10,PROD031,MCH006,SUP011,244,166,morning,completed
PO0275,2026-03-27,PROD082,MCH006,SUP015,941,911,morning,completed
PO0276,2026-03-30,PROD009,MCH006,SUP009,314,225,morning,completed
PO0277,2026-02-26,PROD094,MCH007,SUP006,149,78,evening,delayed
PO0278,2026-03-11,PROD049,MCH002,SUP016,487,411,night,completed
PO0279,2026-01-10,PROD005,MCH005,SUP001,266,203,evening,completed
PO0280,2026-02-13,PROD022,MCH007,SUP006,207,96,night,completed
PO0281,2026-01-12,PROD044,MCH010,SUP020,660,660,evening,completed
PO0282,2026-03-25,PROD022,MCH010,SUP014,541,541,morning,completed
PO0283,2026-01-27,PROD025,MCH007,SUP018,203,125,night,completed
PO0284,2026-02-08,PROD031,MCH002,SUP002,776,692,evening,delayed
PO0285,2026-02-16,PROD001,MCH007,SUP003,257,143,evening,delayed
PO0286,2026-01-04,PROD027,MCH003,SUP010,304,196,morning,delayed
PO0287,2026-02-09,PROD051,MCH008,SUP016,964,858,night,completed
PO0288,2026-03-11,PROD050,MCH003,SUP012,193,155,evening,completed
PO0289,2026-01-06,PROD034,MCH008,SUP015,291,228,evening,completed
PO0290,2026-03-14,PROD008,MCH003,SUP004,957,871,morning,completed
PO0291,2026-02-22,PROD097,MCH010,SUP008,927,876,night,completed
PO0292,2026-03-08,PROD054,MCH009,SUP016,960,889,night,completed
PO0293,2026-01-11,PROD051,MCH001,SUP017,587,505,night,completed
PO0294,2026-02-27,PROD023,MCH003,SUP007,223,199,morning,completed
PO0295,2026-01-11,PROD088,MCH007,SUP007,143,77,night,completed
PO0296,2026-02-03,PROD041,MCH002,SUP003,954,910,evening,delayed
PO0297,2026-02-05,PROD067,MCH008,SUP001,665,586,night,delayed
PO0298,2026-01-20,PROD019,MCH010,SUP019,215,148,night,completed
PO0299,2026-01-13,PROD037,MCH009,SUP012,208,160,evening,completed
PO0300,2026-03-04,PROD074,MCH010,SUP016,492,455,morning,completed
PO0301,2026-01-19,PROD080,MCH010,SUP013,382,313,morning,delayed
PO0302,2026-03-30,PROD031,MCH001,SUP016,1000,922,evening,completed
PO0303,2026-02-08,PROD040,MCH005,SUP016,120,43,night,completed
PO0304,2026-01-18,PROD039,MCH008,SUP011,989,898,evening,delayed
PO0305,2026-01-12,PROD025,MCH008,SUP007,719,681,evening,delayed
PO0306,2026-02-17,PROD008,MCH009,SUP006,877,823,morning,completed
PO0307,2026-02-21,PROD018,MCH009,SUP019,826,770,morning,completed
PO0308,2026-01-26,PROD008,MCH004,SUP002,297,289,evening,completed
PO0309,2026-01-26,PROD036,MCH006,SUP015,469,439,night,delayed
PO0310,2026-01-16,PROD088,MCH001,SUP008,750,748,evening,delayed
PO0311,2026-01-23,PROD061,MCH010,SUP018,708,645,evening,completed
PO0312,2026-02-03,PROD096,MCH002,SUP010,267,254,morning,delayed
PO0313,2026-03-15,PROD100,MCH004,SUP008,150,50,night,completed
PO0314,2026-02-04,PROD084,MCH007,SUP017,793,699,morning,completed
PO0315,2026-01-17,PROD083,MCH003,SUP020,585,581,morning,completed
PO0316,2026-02-09,PROD092,MCH005,SUP014,358,315,evening,completed
PO0317,2026-01-28,PROD060,MCH005,SUP017,570,482,night,delayed
PO0318,2026-01-01,PROD066,MCH006,SUP018,698,591,night,completed
PO0319,2026-01-14,PROD062,MCH002,SUP011,405,372,evening,completed
PO0320,2026-02-03,PROD084,MCH005,SUP007,982,897,morning,completed
PO0321,2026-03-18,PROD052,MCH006,SUP005,158,141,night,completed
PO0322,2026-02-07,PROD034,MCH007,SUP013,771,714,evening,completed
PO0323,2026-03-15,PROD025,MCH006,SUP008,697,667,night,delayed
PO0324,2026-03-06,PROD039,MCH003,SUP018,787,712,morning,completed
PO0325,2026-01-17,PROD095,MCH005,SUP018,199,139,morning,completed
PO0326,2026-01-29,PROD046,MCH004,SUP010,770,661,evening,completed
PO0327,2026-03-16,PROD038,MCH008,SUP004,480,393,evening,completed
PO0328,2026-03-16,PROD075,MCH010,SUP003,987,948,evening,completed
PO0329,2026-03-29,PROD049,MCH009,SUP010,612,507,evening,completed
PO0330,2026-01-20,PROD018,MCH004,SUP011,991,980,evening,delayed
PO0331,2026-01-24,PROD100,MCH002,SUP016,246,166,evening,completed
PO0332,2026-01-08,PROD001,MCH008,SUP009,420,381,morning,completed
PO0333,2026-01-21,PROD063,MCH002,SUP005,690,667,night,delayed
PO0334,2026-02-21,PROD055,MCH008,SUP013,748,682,morning,completed
PO0335,2026-02-17,PROD002,MCH006,SUP017,646,551,morning,completed
PO0336,2026-03-22,PROD094,MCH004,SUP008,792,672,night,completed
PO0337,2026-01-14,PROD050,MCH009,SUP019,419,315,evening,completed
PO0338,2026-01-06,PROD039,MCH005,SUP015,166,151,night,completed
PO0339,2026-03-29,PROD018,MCH006,SUP016,544,537,evening,completed
PO0340,2026-02-21,PROD003,MCH004,SUP008,268,264,night,completed
PO0341,2026-01-03,PROD076,MCH009,SUP006,316,289,morning,completed
PO0342,2026-01-05,PROD049,MCH005,SUP018,828,791,night,completed
PO0343,2026-03-26,PROD014,MCH001,SUP002,708,594,night,completed
PO0344,2026-02-18,PROD016,MCH009,SUP009,526,462,evening,completed
PO0345,2026-03-29,PROD081,MCH001,SUP010,310,278,evening,completed
PO0346,2026-02-04,PROD080,MCH010,SUP005,778,724,evening,completed
PO0347,2026-03-21,PROD016,MCH005,SUP004,623,595,morning,delayed
PO0348,2026-01-26,PROD100,MCH005,SUP017,303,260,morning,completed
PO0349,2026-02-07,PROD021,MCH001,SUP018,820,752,evening,completed
PO0350,2026-03-03,PROD043,MCH004,SUP001,804,803,morning,completed
PO0351,2026-03-15,PROD086,MCH008,SUP005,213,199,morning,completed
PO0352,2026-01-13,PROD033,MCH004,SUP015,840,812,evening,completed
PO0353,2026-01-13,PROD023,MCH001,SUP010,575,461,evening,completed
PO0354,2026-01-15,PROD013,MCH001,SUP001,536,510,morning,completed
PO0355,2026-02-26,PROD080,MCH005,SUP003,436,361,evening,completed
PO0356,2026-02-21,PROD052,MCH008,SUP009,287,181,evening,delayed
PO0357,2026-03-25,PROD022,MCH002,SUP005,919,852,night,completed
PO0358,2026-01-14,PROD054,MCH010,SUP016,964,864,night,delayed
PO0359,2026-02-18,PROD100,MCH006,SUP020,285,243,morning,completed
PO0360,2026-03-04,PROD015,MCH007,SUP015,594,591,morning,completed
PO0361,2026-02-10,PROD002,MCH009,SUP019,367,330,night,completed
PO0362,2026-02-13,PROD067,MCH009,SUP020,785,776,morning,delayed
PO0363,2026-02-01,PROD062,MCH006,SUP013,777,750,morning,completed
PO0364,2026-01-21,PROD065,MCH008,SUP016,111,82,morning,completed
PO0365,2026-02-11,PROD031,MCH006,SUP009,869,811,morning,completed
PO0366,2026-02-18,PROD052,MCH004,SUP003,663,625,evening,delayed
PO0367,2026-02-27,PROD012,MCH008,SUP015,920,873,evening,completed
PO0368,2026-03-25,PROD003,MCH002,SUP013,609,584,evening,completed
PO0369,2026-01-01,PROD012,MCH010,SUP020,670,620,night,completed
PO0370,2026-01-27,PROD084,MCH008,SUP011,620,571,evening,completed
PO0371,2026-02-28,PROD043,MCH009,SUP020,936,844,night,delayed
PO0372,2026-02-16,PROD092,MCH008,SUP004,833,797,morning,completed
PO0373,2026-02-15,PROD082,MCH005,SUP018,102,43,night,completed
PO0374,2026-01-06,PROD022,MCH008,SUP005,818,711,night,delayed
PO0375,2026-03-20,PROD026,MCH004,SUP004,209,121,evening,completed
PO0376,2026-01-25,PROD092,MCH006,SUP004,568,553,evening,completed
PO0377,2026-03-28,PROD076,MCH002,SUP015,748,735,evening,completed
